finding_id,scan_id,scan_date,detected_timestamp,asset_id,asset_name,asset_type,environment,business_unit,owner_team,cve_id,vulnerability_title,vulnerability_category,severity,cvss_score,cvss_vector,status,first_detected_date,age_days,remediation_hours,asset_value_at_risk,weighted_risk,remediation_sla_days,exploit_available,detection_source,source_updated_at
FND-000001,SCN-20251224-0001,2025-12-24,2025-12-24T06:00:00+00:00,AST-006,edge-waf-gateway,Network Device,Production,Network Security,Network Security,CVE-2025-48291,SQL injection in the reporting parameter binder,SQL Injection,High,8.6,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:C/C:H/I:L/A:N,Resolved,2025-11-16,38,13.00,1238400.00,94.60,30,true,Qualys VMDR,2025-12-24T08:00:00+00:00
FND-000002,SCN-20260813-0002,2026-08-13,2026-08-13T06:01:00+00:00,AST-006,edge-waf-gateway,Network Device,Production,Network Security,Network Security,CVE-2025-53914,Sensitive data exposure through verbose error responses,Information Disclosure,Medium,5.3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:L/I:N/A:N,Open,2026-07-09,35,5.70,848000.00,58.30,90,false,Wiz,2026-08-15T08:01:00+00:00
FND-000003,SCN-20251227-0003,2025-12-27,2025-12-27T06:02:00+00:00,AST-003,customer-portal-web,Server,Production,Digital Experience,Web Platform,CVE-2025-53914,Sensitive data exposure through verbose error responses,Information Disclosure,Medium,5.3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:L/I:N/A:N,Open,2025-10-12,76,5.40,572400.00,53.00,90,false,Rapid7 InsightVM,2025-12-27T08:02:00+00:00
FND-000004,SCN-20260216-0004,2026-02-16,2026-02-16T06:03:00+00:00,AST-022,backup-orchestrator,Server,Production,Infrastructure,Platform SRE,CVE-2025-44521,Information Disclosure in the backup client,Information Disclosure,High,7.1,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:L/I:L/A:L,In Remediation,2026-02-02,14,7.02,247435.00,35.50,30,false,Rapid7 InsightVM,2026-02-18T08:03:00+00:00
FND-000005,SCN-20260530-0005,2026-05-30,2026-05-30T06:04:00+00:00,AST-008,hr-records-db,Database,Production,People Operations,Enterprise Apps,CVE-2026-31847,Unauthenticated remote code execution in the request-routing filter,Remote Code Execution,Critical,9.8,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,In Remediation,2026-02-28,91,26.88,846720.00,88.20,7,true,Rapid7 InsightVM,2026-05-30T08:04:00+00:00
FND-000006,SCN-20260728-0006,2026-07-28,2026-07-28T06:05:00+00:00,AST-001,core-payments-api,Server,Production,Payments Platform,Platform SRE,CVE-2025-48291,SQL injection in the reporting parameter binder,SQL Injection,High,8.6,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:C/C:H/I:L/A:N,Resolved,2026-05-15,74,13.00,2270400.00,111.80,30,true,Qualys VMDR,2026-07-28T08:05:00+00:00
FND-000007,SCN-20260226-0007,2026-02-26,2026-02-26T06:06:00+00:00,AST-008,hr-records-db,Database,Production,People Operations,Enterprise Apps,CVE-2025-48291,SQL injection in the reporting parameter binder,SQL Injection,High,8.6,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:C/C:H/I:L/A:N,In Remediation,2025-11-27,91,13.65,701760.00,77.40,30,true,Nessus,2026-02-27T08:06:00+00:00
FND-000008,SCN-20260720-0008,2026-07-20,2026-07-20T06:07:00+00:00,AST-021,dev-sandbox-box,Cloud VM,Development,Developer Platform,Developer Platform,CVE-2026-40685,Authentication Bypass in the API gateway plugin,Authentication Bypass,High,7.1,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:L/I:L/A:L,Open,2026-05-30,51,16.38,57510.00,14.20,30,true,CrowdStrike Spotlight,2026-07-21T08:07:00+00:00
FND-000009,SCN-20260603-0009,2026-06-03,2026-06-03T06:08:00+00:00,AST-013,mobile-bff-api,Container,Production,Digital Experience,Web Platform,CVE-2026-10022,Authentication bypass via forged assertion in the SSO broker,Authentication Bypass,Critical,9.1,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:N,Resolved,2026-02-16,107,22.40,533715.00,72.80,7,true,CrowdStrike Spotlight,2026-06-05T08:08:00+00:00
FND-000010,SCN-20260219-0010,2026-02-19,2026-02-19T06:09:00+00:00,AST-004,orders-postgres-prod,Database,Production,Commerce,Data Platform,CVE-2025-40000,Remote Code Execution in the message queue broker,Remote Code Execution,Critical,9.8,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:L/I:L/A:L,Open,2025-11-06,105,24.32,2058000.00,117.60,7,false,Wiz,2026-02-19T08:09:00+00:00
