transaction_id,order_id,sale_date,posting_timestamp,customer_id,customer_name,customer_type,facility_state,sales_region,sales_rep_id,product_sku,product_family,procedure_category,units,unit_price,gross_sales,discount_pct,discount_amount,net_sales,cost_of_goods,gross_margin,currency,sales_channel,contract_id,purchase_order_number,invoice_number,payment_status,source_updated_at
TXN-000001,SO-100000,2025-12-07,2025-12-07T14:00:00+00:00,CUS-003,Great Lakes University Hospital,Academic Medical Center,OH,Midwest,REP-007,TRI-KNEE-CR-04,Triathlon Knee,Total knee arthroplasty,4,4423.80,17695.20,0.1700,3008.18,14687.02,9240.00,5447.02,USD,Direct,AGR-ORTHO-26-324,CPO-003-2025-0001,SI-880000,PAID,2025-12-07T17:00:00+00:00
TXN-000002,SO-100001,2026-04-09,2026-04-09T14:01:00+00:00,CUS-002,Hudson Valley Surgical Center,ASC,NY,Northeast,REP-005,TRI-KNEE-CR-04,Triathlon Knee,Total knee arthroplasty,5,4336.20,21681.00,0.1450,3143.75,18537.25,11550.00,6987.25,USD,Direct,AGR-ORTHO-26-317,CPO-002-2026-0002,SI-880001,PAID,2026-04-11T17:01:00+00:00
TXN-000003,SO-100002,2026-01-03,2026-01-03T14:02:00+00:00,CUS-005,Lone Star Orthopedic Network,IDN,TX,South Central,REP-015,TRI-KNEE-PS-05,Triathlon Knee,Total knee arthroplasty,2,4776.75,9553.50,0.1800,1719.63,7833.87,5080.00,2753.87,USD,ASC Program,AGR-ORTHO-26-338,CPO-005-2026-0003,SI-880002,OPEN,2026-01-03T17:02:00+00:00
TXN-000004,SO-100003,2025-11-06,2025-11-06T14:03:00+00:00,CUS-003,Great Lakes University Hospital,Academic Medical Center,OH,Midwest,REP-010,MAKO-KNEE-KIT,Robotic Procedure Kit,Robotic-assisted knee,1,1640.00,1640.00,0.1800,295.20,1344.80,703.80,641.00,USD,Direct,AGR-ORTHO-26-324,CPO-003-2025-0004,SI-880003,OPEN,2025-11-07T17:03:00+00:00
TXN-000005,SO-100004,2026-03-08,2026-03-08T14:04:00+00:00,CUS-004,Blue Ridge Joint Institute,Hospital,NC,Southeast,REP-014,MAKO-KNEE-KIT,Robotic Procedure Kit,Robotic-assisted knee,1,1656.40,1656.40,0.1400,231.90,1424.50,676.20,748.30,USD,Direct,AGR-ORTHO-26-331,CPO-004-2026-0005,SI-880004,PAID,2026-03-09T17:04:00+00:00
TXN-000006,SO-100005,2026-03-14,2026-03-14T14:05:00+00:00,CUS-011,Desert Ridge Ambulatory Surgery,ASC,AZ,Mountain,REP-036,SOM-PLATE-8H,Trauma Plating,Trauma fixation,4,892.50,3570.00,0.1100,392.70,3177.30,1489.20,1688.10,USD,Direct,AGR-ORTHO-26-310,CPO-011-2026-0006,SI-880005,PAID,2026-03-14T17:05:00+00:00
TXN-000007,SO-100006,2026-04-29,2026-04-29T14:06:00+00:00,CUS-002,Hudson Valley Surgical Center,ASC,NY,Northeast,REP-010,TRI-KNEE-CR-04,Triathlon Knee,Total knee arthroplasty,2,4292.40,8584.80,0.1500,1287.72,7297.08,4620.00,2677.08,USD,Direct,AGR-ORTHO-26-317,CPO-002-2026-0007,SI-880006,PAID,2026-04-29T17:06:00+00:00
TXN-000008,SO-100007,2026-05-01,2026-05-01T14:07:00+00:00,CUS-005,Lone Star Orthopedic Network,IDN,TX,South Central,REP-013,MAKO-HIP-KIT,Robotic Procedure Kit,Robotic-assisted hip,4,1495.00,5980.00,0.1900,1136.20,4843.80,2450.00,2393.80,USD,Direct,AGR-ORTHO-26-338,CPO-005-2026-0008,SI-880007,PAID,2026-05-02T17:07:00+00:00
TXN-000009,SO-100008,2025-12-08,2025-12-08T14:08:00+00:00,CUS-003,Great Lakes University Hospital,Academic Medical Center,OH,Midwest,REP-008,ACC-HIP-CUP-56,Acetabular System,Total hip arthroplasty,4,2915.50,11662.00,0.1700,1982.54,9679.46,6071.04,3608.42,USD,Direct,AGR-ORTHO-26-324,CPO-003-2025-0009,SI-880008,OPEN,2025-12-08T17:08:00+00:00
TXN-000010,SO-100009,2026-04-04,2026-04-04T14:09:00+00:00,CUS-003,Great Lakes University Hospital,Academic Medical Center,OH,Midwest,REP-009,TRI-KNEE-PS-05,Triathlon Knee,Total knee arthroplasty,4,4921.50,19686.00,0.1700,3346.62,16339.38,10363.20,5976.18,USD,Direct,AGR-ORTHO-26-324,CPO-003-2026-0010,SI-880009,OPEN,2026-04-06T17:09:00+00:00
